condition,seed,generation,name,label,detail
vanilla,0,17,AdaptiveCMAES,runtime_error,AttributeError: 'AdaptiveCMAES' object has no attribute 'D'
vanilla,0,24,AdaptiveActiveCMAES,unclassified_success,ok
vanilla,0,45,Adaptive_Active_CMA_ES,unclassified_success,ok
vanilla,0,46,AP_CMA_ES_Optimizer,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 4 is different from 6)"
vanilla,0,47,CMA_ES_Optimizer,runtime_error,NameError: name 'self_boundary_handling' is not defined
vanilla,0,53,SHADE_Optimizer,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,0,61,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,74,AdaptiveActiveCMAES,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 2 is different from 12)"
vanilla,0,83,DirectionalGaussianSearch,unclassified_success,ok
vanilla,0,92,AP_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,93,DGS_Optimizer,unclassified_success,ok
vanilla,0,166,Hybrid_AOC_CMA_ES,import_violation,scipy.optimize is currently not allowed to be imported in this framework.
vanilla,0,169,AP_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,197,BIPOP_Active_CMA_ES,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 2 is different from 3)"
vanilla,0,202,AP_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,203,AP_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,227,AP_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,236,DA_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,251,AS_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,252,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,253,AH_CMA_ES_Optimizer,import_violation,scipy.optimize is currently not allowed to be imported in this framework.
vanilla,0,259,DA_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,262,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,272,DE_CMA_Optimizer,import_violation,scipy.optimize is currently not allowed to be imported in this framework.
vanilla,0,275,HOS_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,280,HSA_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,282,DA_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,283,AH_CMA_Optimizer,unclassified_success,ok
vanilla,0,285,IG_SuccessiveProjection_Optimizer,unclassified_success,ok
vanilla,0,293,DE_CMA_Optimizer,unclassified_success,ok
vanilla,0,295,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,307,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,312,HMO_CMA_Optimizer,unclassified_success,ok
vanilla,0,315,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,321,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,322,DA_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,323,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,326,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,332,AH_CMA_Optimizer,unclassified_success,ok
vanilla,0,333,AdaptiveHybridCMAES,unclassified_success,ok
vanilla,0,334,DESMA_Optimizer,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,0,335,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,337,SHADE_ALS_Optimizer,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,0,342,AM_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,344,DECH_Optimizer,runtime_error,AttributeError: module 'numpy.random' has no attribute 'cauchy'
vanilla,0,345,IG_SMS_Optimizer,import_violation,scipy.linalg is currently not allowed to be imported in this framework.
vanilla,0,350,DEA_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,353,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,364,DE_CMA_ES_Optimizer,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,) (4,) "
vanilla,0,371,DA_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,372,DE_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,376,AH_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,385,AD_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,387,GIMI_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,388,Hybrid_LCMA_Surrogate_Optimizer,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,0,399,SVH_CMA_Optimizer,unclassified_success,ok
vanilla,0,401,AD_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,406,AD_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,408,SV_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,409,AMS_DE_Optimizer,runtime_error,IndexError: index 18 is out of bounds for axis 0 with size 17
vanilla,0,422,IGD_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,437,SAPSR_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,448,OMD_CMA_ES_Optimizer,runtime_error,AttributeError: module 'numpy' has no attribute 'array_allclose'
vanilla,0,449,AD_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,450,CMA_LS_Optimizer,runtime_error,IndexError: index 2 is out of bounds for axis 0 with size 2
vanilla,0,460,IGD_CMA_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,474,MA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,476,GE_CMA_ES_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,478,AD_CMA_ES_Optimizer,unclassified_success,ok
vanilla,0,485,MA_ES_ROSP_Optimizer,runtime_error,IndexError: index 4 is out of bounds for axis 0 with size 4
vanilla,0,487,BD_CMA_ES_Optimizer,unclassified_success,ok
vanilla,1,3,DirectionalAdaptiveSearch,runtime_error,IndexError: list index out of range
vanilla,1,24,AdaptiveManifoldDescentOptimizer,runtime_error,AttributeError: 'AdaptiveManifoldDescentOptimizer' object has no attribute 'BD'
vanilla,1,33,IGSCMAES,unclassified_success,ok
vanilla,1,36,IGPGCMA,unclassified_success,ok
vanilla,1,46,CMA_ALFA,runtime_error,"ValueError: could not broadcast input array from shape (2,0) into shape (2,2)"
vanilla,1,47,CMABMSP,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,49,CMABMSP,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,71,CMAMSPS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,73,CMA_SMALS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,86,CMAEAS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,89,CMA_MGOS,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,91,CMARDMSL,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
vanilla,1,98,CMAEAS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,101,CMASRV,unclassified_success,ok
vanilla,1,105,CMA_AMOS,runtime_error,IndexError: index 5 is out of bounds for axis 0 with size 5
vanilla,1,125,OM_CMA_ALR,runtime_error,"ValueError: could not broadcast input array from shape (2,2) into shape (3,2)"
