condition,gen_bin,n,fail,rate
combined_neutral,0-99,1000,68,6.8
combined_neutral,100-199,1000,168,16.8
combined_neutral,200-299,1000,208,20.8
combined_neutral,300-399,1000,198,19.8
combined_neutral,400-499,1000,237,23.7
neutral,0-99,1000,82,8.2
neutral,100-199,1000,174,17.4
neutral,200-299,1000,132,13.2
neutral,300-399,1000,121,12.1
neutral,400-499,1000,187,18.7
sage,0-99,1000,89,8.9
sage,100-199,1000,128,12.8
sage,200-299,1000,266,26.6
sage,300-399,1000,286,28.6
sage,400-499,1000,279,27.9
vanilla,0-99,1000,137,13.7
vanilla,100-199,1000,147,14.7
vanilla,200-299,1000,163,16.3
vanilla,300-399,1000,220,22.0
vanilla,400-499,1000,172,17.2
